Source Site Type,Target Site Type,Relationship Role,Source Site Name (Italian),Source Site Name (English),Source Modern Municipality,Source Modern Province,Source Historical Region,Source Site Dedication Subject(s),Source Monastic Affiliation,Target Site Name (Italian),Target Site Name (English),Target Modern Municipality,Target Modern Province,Target Historical Region,Target Site Dedication Subject(s)
Churches,Monasteries,Dependent or Possession of,La Chiesa di Maria Santissima Annunziata,Church of Maria Santissima Annunziata,Mezzojuso,Palermo,Val di Mazara,the Virgin Mary,,San Giovanni degli Eremiti,Saint John of the Hermits,Palermo,Palermo,Val di Mazara,Saint John the Evangelist
Monasteries,Churches,Dependent or Possession of,San Bartolomeo di Lipari,Saint Bartholomew of Lipari,Lipari,Messina,Val Demone,Saint Bartholomew,Benedictines,La Santa Sede,The Holy See,Vatican City,,,Saint Peter
Monasteries,Churches,Dependent or Possession of,Santissimo Salvatore di Patti,Christ the Savior of Patti,Patti,Messina,Val Demone,Christ,Benedictines,La Santa Sede,The Holy See,Vatican City,,,Saint Peter
Monasteries,Monasteries,Dependent or Possession of,Santa Maria di Caccamo,Saint Mary of Caccamo,Caccamo,Palermo,Val di Mazara,the Virgin Mary,Benedictines,San Bartolomeo di Lipari,Saint Bartholomew of Lipari,Lipari,Messina,Val Demone,Saint Bartholomew
Monasteries,Monasteries,Dependent or Possession of,Santa Maria di Caccamo,Saint Mary of Caccamo,Caccamo,Palermo,Val di Mazara,the Virgin Mary,Benedictines,Santissimo Salvatore di Patti,Christ the Savior of Patti,Patti,Messina,Val Demone,Christ
Monasteries,Monasteries,Dependent or Possession of,Santa Croce di Buccheri,Holy Cross of Buccheri,Buccheri,Syracuse,Val di Noto,the Holy Cross,Benedictines,San Bartolomeo di Lipari,Saint Bartholomew of Lipari,Lipari,Messina,Val Demone,Saint Bartholomew
Monasteries,Monasteries,Dependent or Possession of,Santa Croce di Buccheri,Holy Cross of Buccheri,Buccheri,Syracuse,Val di Noto,the Holy Cross,Benedictines,Santissimo Salvatore di Patti,Christ the Savior of Patti,Patti,Messina,Val Demone,Christ
Monasteries,Monasteries,Dependent or Possession of,San Giovanni di Vizzini,Saint John of Vizzini,Vizzini,Catania,Val di Noto,Saint John (the Baptist?),Benedictines,San Bartolomeo di Lipari,Saint Bartholomew of Lipari,Lipari,Messina,Val Demone,Saint Bartholomew
Monasteries,Monasteries,Dependent or Possession of,San Giovanni di Vizzini,Saint John of Vizzini,Vizzini,Catania,Val di Noto,Saint John (the Baptist?),Benedictines,Santissimo Salvatore di Patti,Christ the Savior of Patti,Patti,Messina,Val Demone,Christ
Monasteries,Monasteries,Dependent or Possession of,Santa Sophia di Vicari,Saint Sophia of Vicari,Vicari,Palermo,Val di Mazara,Saint Sophia,Benedictines,San Bartolomeo di Lipari,Saint Bartholomew of Lipari,Lipari,Messina,Val Demone,Saint Bartholomew
Monasteries,Monasteries,Dependent or Possession of,Santa Sophia di Vicari,Saint Sophia of Vicari,Vicari,Palermo,Val di Mazara,Saint Sophia,Benedictines,Santissimo Salvatore di Patti,Christ the Savior of Patti,Patti,Messina,Val Demone,Christ
Monasteries,Monasteries,Dependent or Possession of,Santa Maria di Tusa,Saint Mary of Tusa,Tusa,Messina,Val Demone,the Virgin Mary,Benedictines,San Bartolomeo di Lipari,Saint Bartholomew of Lipari,Lipari,Messina,Val Demone,Saint Bartholomew
Monasteries,Monasteries,Dependent or Possession of,Santa Maria di Tusa,Saint Mary of Tusa,Tusa,Messina,Val Demone,the Virgin Mary,Benedictines,Santissimo Salvatore di Patti,Christ the Savior of Patti,Patti,Messina,Val Demone,Christ
Monasteries,Monasteries,Dependent or Possession of,Santa Maria di Mazzarino,Saint Mary of Mazzarino,Mazzarino,Caltanissetta,Val di Noto,the Virgin Mary,Benedictines,San Bartolomeo di Lipari,Saint Bartholomew of Lipari,Lipari,Messina,Val Demone,Saint Bartholomew
Monasteries,Monasteries,Dependent or Possession of,Santa Maria di Mazzarino,Saint Mary of Mazzarino,Mazzarino,Caltanissetta,Val di Noto,the Virgin Mary,Benedictines,Santissimo Salvatore di Patti,Christ the Savior of Patti,Patti,Messina,Val Demone,Christ
Monasteries,Monasteries,Dependent or Possession of,Santa Maria di Butera,Saint Mary of Butera,Butera,Caltanissetta,Val di Noto,the Virgin Mary,Benedictines,San Bartolomeo di Lipari,Saint Bartholomew of Lipari,Lipari,Messina,Val Demone,Saint Bartholomew
Monasteries,Monasteries,Dependent or Possession of,Santa Maria di Butera,Saint Mary of Butera,Butera,Caltanissetta,Val di Noto,the Virgin Mary,Benedictines,Santissimo Salvatore di Patti,Christ the Savior of Patti,Patti,Messina,Val Demone,Christ
Monasteries,Monasteries,Dependent or Possession of,Sant'Anna di Monforte,Saint Anne of Monforte,Monforte San Giorgio,Messina,Val Demone,Saint Anne,Basilians,Santissimo Salvatore in Lingua Phari,Christ the Savior in Lingua Phari,Messina,Messina,Val Demone,Christ
Monasteries,Monasteries,Dependent or Possession of,San Barbaro di Dimenna,Saint Barbarus of Dimenna,San Marco d'Alunzio,Messina,Val Demone,Saint Barbarus,Basilians,Santissimo Salvatore in Lingua Phari,Christ the Savior in Lingua Phari,Messina,Messina,Val Demone,Christ
Monasteries,Monasteries,Dependent or Possession of,San Basilio di Naso,Saint Basil of Naso,Naso,Messina,Val Demone,Saint Basil,Basilians,Santissima Trinità di San Michele Arcangelo di Mileto,Holy Trinity and Saint Michael the Archangel of Mileto,,,,Saint Michael the Archangel then the Holy Trinity
Monasteries,Monasteries,Dependent or Possession of,San Cosma a Gonata,Saint Cosmas at Gonata,Castelbuono,Palermo,Val Demone,Saint Cosmas,Basilians,Santissima Trinità di San Michele Arcangelo di Mileto,Holy Trinity and Saint Michael the Archangel of Mileto,,,,Saint Michael the Archangel then the Holy Trinity
Monasteries,Churches,Dependent or Possession of,San Cosma a Gonata,Saint Cosmas at Gonata,Castelbuono,Palermo,Val Demone,Saint Cosmas,Basilians,La Cattedrale di Santissimo Salvatore e Santi Pietro e Paolo,The Cathedral Church of the Most Holy Savior and Saints Peter and Paul,Cefalù,Palermo,Val di Mazara,"Christ, Saint Peter and Saint Paul"
Monasteries,Monasteries,Dependent or Possession of,Sant'Elia di Scala Oliveri,Saint Elias of Scala Oliveri,Oliveri,Messina,Val Demone,Saint Elias the Prophet,Basilians,Santissimo Salvatore in Lingua Phari,Christ the Savior in Lingua Phari,Messina,Messina,Val Demone,Christ
Monasteries,Monasteries,Dependent or Possession of,San Giacomo di Calò,Saint James of Calò,Novara di Sicilia,Messina,Val Demone,Saint James (the Great?),Basilians,Santissimo Salvatore in Lingua Phari,Christ the Savior in Lingua Phari,Messina,Messina,Val Demone,Christ
Monasteries,Monasteries,Dependent or Possession of,San Giovanni di Psichro,Saint John of Psichro,Randazzo,Catania,Val Demone,Saint John (the Baptist?),Basilians,Santissimo Salvatore in Lingua Phari,Christ the Savior in Lingua Phari,Messina,Messina,Val Demone,Christ
Monasteries,Monasteries,Dependent or Possession of,San Leone di Messina,Saint Leo of Messina,Messina,Messina,Val Demone,Saint Leo (Pope Leo II?),Basilians,Santissimo Salvatore in Lingua Phari,Christ the Savior in Lingua Phari,Messina,Messina,Val Demone,Christ
